"Pueblo Paleta","Pallet Town","Masara Town","Ruta 1 y Ruta 21"
"Ciudad Verde","Viridian City","Tokiwa City","Ruta 1, Ruta 2 y Ruta 22"
"Ciudad Plateada","Pewter City","Nibi City","Ruta 2 , Ruta 3 y Cueva Diglett"
"Ciudad Celeste","Cerulean City","Hanada City","Ruta 24, Ruta 5, Ruta 4 y Ruta 9"
"Ciudad Carmín","Vermilion City","Kuchiba City","Ruta 6, Ruta 11 y Cueva Diglett"
"Pueblo Lavanda","Lavender Town","Shion Town","Ruta 10, Ruta 12 y Ruta 8"
"Ciudad Azulona","Celadon City","Tamamushi City","Ruta 7 y Ruta 16"
"Ciudad Fucsia","Fuchsia City","Sekichiku Cuty","Ruta 19, Ruta 18 y Ruta 15"
"Ciudad Azafrán","Saffron City","Yamabuki City","Ruta 5, Ruta 6, Ruta 7 y Ruta 8"
"Isla Canela","Cinnabar Island","Guren Island","Ruta 21 y Ruta 20"
"Pueblo Primavera","New Bark Town","Wakaba Town","Ruta 29"
"Ciudad Cerezo","Cherrygrove City","Yoshino City","Ruta 29 y Ruta 30"
"Ciudad Malva","Violet City","Kikyo City","Ruta 36, Ruta 32 y Ruta 31"
"Pueblo Azalea","Azalea Town","Hiwada Town","Ruta 33"
"Ciudad Trigal","Goldenrod City","Cogane City","Ruta 35 y Ruta 34"
"Ciudad Iris","Ecruteak City","Enju City","Ruta 37, Ruta 42 y Ruta 38"
"Ciudad Olivo","Olivine City","Asagi City","Ruta 39 y Ruta 40"
"Ciudad Orquídea","Cianwood City","Tanba City","Ruta 41"
"Pueblo Caoba","Mahogany Town","Choji Town","Ruta 42, Ruta 44 y Ruta 43"
"Ciudad Endrino","Blackthorn City","Fusube City","Ruta Helada y Ruta 45"
"Villa Raíz","Littleroot Town","Mishiro Town","Ruta 101"
"Pueblo Escaso","Oldale Town","Kotoki Town","Ruta 101, Ruta 102 y Ruta 103"
"Ciudad Petalia","Petalburg City","Touka City","Ruta 102 y Ruta 104"
"Ciudad Férrica","Rustboro City","Kanazumi City","Ruta 115, Ruta 116 y Ruta 104"
"Pueblo Azuliza","Dewford Town","Muro Town","Ruta 106 y Ruta 107"
"Ciudad Portual","Slateport City","Kaina City","Ruta 109, Ruta 110 y Ruta 134"
"Ciudad Malvalona","Mauville City","Kinsetsu City","Ruta 111, Ruta 117, Ruta 118 y Ruta 110"
"Pueblo Verdegal","Verdanturf Town","Shidake Town","Ruta 117"
"Pueblo Pardal","Fallarbor Town","Hajitsuge Town","Ruta 113 y Ruta 114"
"Pueblo Lavacalda","Lavaridge Town","Fuen Town","Ruta 112"
"Ciudad Arborada","Fortree City","Hiwamaki City","Ruta 119 y Ruta 120"
"Ciudad Calagua","Lilycove City","Minamo City","Ruta 121 y Ruta 122"
"Ciudad Algaria","Mossdeep City","Tokusane City","Ruta 124, Ruta 125 y Ruta 127"
"Arrecípolis","Sootopolis City","Rune City","Ruta 124, Ruta 125 y Ruta 127"
"Pueblo Oromar","Pacifidlog Town","Kinagi Town","Ruta 131 y Ruta 132"
"Ciudad Colosalia","Ever Grande City","Saiyū City","Ruta 128"
"Pueblo Hojaverde","Twinleaf Town","Futaba Town","Ruta 201"
"Pueblo Arena","Sandgem Town","Masago Town","Ruta 201, Ruta 202 y Ruta 219"
"Ciudad Jubileo","Jubilife City","Kotobuki City","Ruta 202, Ruta 203, Ruta 204 y Ruta 218"
"Ciudad Pirita","Oreburgh City","Korugane City","Ruta 203 y Ruta 207"
"Pueblo Aromaflor","Floaroma Town","Sonoo Town","Ruta 204 y Ruta 205"
"Ciudad Vetusta","Eterna City","Hakutai City","Ruta 205, Ruta 206 y Ruta 211"
"Pueblo Sosiego","Solaceon Town","Zui Town","Ruta 209 y Ruta 210"
"Ciudad Corazón","Hearthome City","Yosuga City","Ruta 208, Ruta 209 y Ruta 212"
"Ciudad Rocavelo","Veilstone City","Tobari City","Ruta 214 y Ruta 215"
"Ciudad Pradera","Pastoria City","Nomose City","Ruta 212 y Ruta 213"
"Pueblo Caelestis","Celestic Town","Kannagi Town","Ruta 210 y Ruta 211"
"Ciudad Canal","Canalave City","Mio City","Ruta 218"
"Ciudad Puntaneva","Snowpoint City","Kissaki City","Ruta 217"
"Ciudad Marina","Sunyshore City","Nagisa City","Ruta 222 y Ruta 223"
"Ciudad Caolín","Opelucid City","Souryuu City","Ruta 9 (Teselia), Ruta 10 (Teselia) y Ruta 11 (Teselia)"
"Ciudad Esmalte","Nacrene City","Shippo City","Ruta 3 (Teselia)"
"Ciudad Fayenza","Driftveil City","Hodomoe City","Ruta 6 (Teselia)"
"Ciudad Gres","Striaton City","Sanyou City","Ruta 2 (Teselia) y Ruta 3 (Teselia)"
"Ciudad Loza","Mistralton City","Fukiyose City","Ruta 6 (Teselia) y Ruta 7 (Teselia)"
"Ciudad Mayólica","Nimbasa City","Raimon City","Ruta 4 (Teselia), Ruta 5 (Teselia) y Ruta 16 (Teselia)"
"Ciudad Negra (Pokémon Negro)","Black City","Black City","Ruta 14 (Teselia) y Ruta 15 (Teselia)"
"Ciudad Porcelana","Castelia City","Hiun City","Ruta 4 (Teselia), Isla Libertad (Barco), Torre Unión (Barco)"
"Ciudad Teja","Icirrus City","Sekka City","Ruta 8 (Teselia)"
"Pueblo Arcilla","Nuvema Town","Kanoko Town","Ruta 1 (Teselia)"
"Pueblo Arenisca","Undella Town","Sazanami Town","Ruta 13 (Teselia) y Ruta 14 (Teselia)"
"Pueblo Biscuit","Anville Town","Kanawa Town","Ciudad Mayólica (Tren)"
"Pueblo Ladrillo","Lacunosa Town","Kagome Town","Ruta 12 (Teselia) y Ruta 13 (Teselia)"
"Pueblo Terracota","Accumula Town","Karakusa Town","Ruta 1 (Teselia) y Ruta 2 (Teselia)"
"Ciudad Engobe","Aspertia City","Hiougi City","Ruta 19"
"Ciudad Hormigón","Virbank City","Tachiwaki City","Ruta 20, Pokéwood, Polígono Hormigón, Ciudad Porcelana (Barco)"
"Pueblo Ocre","Floccesy Town","Sangi Town","Arboleda Promesa, Ruta 20, Ruta 19"
"Pueblo Chamota","Lentimas Town","Yamaji Town","Ciudad Loza (Avión), Montaña Reversia"
"Ciudad Marga","Humilau City","Seigaiha City","Bahía Arenisca, Ruta 21,Ruta 21"
"Pueblo Boceto","Vaniville Town","Asame Town","Ruta 1"
"Ciudad Novarte","Santalune City","Hakudan City","Ruta 3, Ruta 4 y Ruta 22"
"Ciudad Luminalia","Lumiose City","Miare City","Ruta 4, Ruta 5, Ruta 13, Ruta 14 y Ruta 16"
"Ciudad Yantra","Shalour City","Shara City","Cueva Reflejos y Ruta 12"
"Pueblo Vánitas","Camphrier Town","Koboku Town","Ruta 5, Ruta 6 y Ruta 7"
"Ciudad Relieve","Cyllage City","Shōyō City","Gruta Tierraunida, Ruta 8 y Ruta 10"
"Ciudad Témpera","Coumarine City","Hiyoku City","Ruta 12, Bahía Azul y Ruta 13"
"Ciudad Romantis","Laverre City","Kunoe City","Ruta 14, Fábrica Poké Balls y Ruta 15"
"Ciudad Fluxus","Anistar City","Hyakkoku City","Ruta 17 y Ruta 18"
"Ciudad Fractal","Snowbelle City","Eisetsu City","Ruta 19, Ruta 20 y Ruta 21"
"Pueblo Acuarela","Aquacorde Town","Meisui Town","Ruta 1 y Ruta 2"
"Pueblo Petroglifo","Ambrette Town","Kōjin Town","Ruta 8 y Ruta 9"
"Pueblo Crómlech","Geosenge Town","Sekitai Town","Ruta 10 y Ruta 11"
"Pueblo Fresco","Dendemille Town","Fūjo Town","Ruta 15 y Ruta 17"
"Pueblo Mosaico","Couriway Town","Renri Town","Ruta 18 y Ruta 19"
"Pueblo Lilii","Iki Town","Lili'i Town","Ruta 1 y Senda Mahalo"
"Ciudad Hauoli","Hau'oli City","Hauoli City","Ruta 1 y Ruta 2"
"Ciudad Kantai","Heahea City","Kantai City","Ruta 6, Ruta 4, Resort Hanohano y Túnel Diglett"
"Pueblo Ohana","Paniola Town","Ohana Town","Rancho Ohana, Ruta 4 y Ruta 6"
"Ciudad Konikoni","Konikoni City","Koniko City","Túnel Diglett y Ruta 9"
"Ciudad Malíe","Malie City","Malie City","Ruta 11, Ruta 10, Cabo de las Afueras y Parque de Malíe"
"Pueblo Po","Po Town","Pō Town","Ruta 17 y Mansión Misteriosa"
"Aldea Marina","Seafolk Village","Seafolk Village","Prado de Poni e Isla Exeggutor"
"Villa Ágata","Agate Village","Aget Village","Noroeste"
"Puerto Ancla","Gateon Port","Aio Port","Puerto"
"Ciudad Oasis","Phenac City","Phenace City","Oasis del Desierto"
"Pueblo Pirita","Pyrite Town","Pyra Town","Suroeste"
"Básix","The Under","Under","Debajo de Pueblo Pirita"
"Otonia","Fall City","Fall City","Sureste, Puerto"
"Villaestío","Summerland","Summerland","Sur"
"Villavera","Ring Town","Ringtown","Suroeste"
"Hiberna","Wintown","Wintown","Norte"